"            bitcoin  isPartial
date                          
2015-01-04       65      False
2015-01-11       71      False
2015-01-18       54      False
2015-01-25       65      False
2015-02-01       51      False
2015-02-08       58      False
2015-02-15       60      False
2015-02-22       47      False
2015-03-01       56      False
2015-03-08       57      False
2015-03-15       55      False
2015-03-22       47      False
2015-03-29       49      False
2015-04-05       47      False
2015-04-12       44      False
2015-04-19       44      False
2015-04-26       40      False
2015-05-03       39      False
2015-05-10       43      False
2015-05-17       46      False
2015-05-24       47      False
2015-05-31       42      False
2015-06-07       40      False
2015-06-14       56      False
2015-06-21       46      False
2015-06-28       57      False
2015-07-05       60      False
2015-07-12       57      False
2015-07-19       47      False
2015-07-26       55      False
2015-08-02       53      False
2015-08-09       48      False
2015-08-16       55      False
2015-08-23       58      False
2015-08-30       44      False
2015-09-06       46      False
2015-09-13       48      False
2015-09-20       46      False
2015-09-27       44      False
2015-10-04       41      False
2015-10-11       41      False
2015-10-18       52      False
2015-10-25       64      False
2015-11-01      100      False
2015-11-08       70      False
2015-11-15       59      False
2015-11-22       56      False
2015-11-29       60      False
2015-12-06       91      False
2015-12-13       72      False
2015-12-20       65      False
2015-12-27       60      False"
"            bitcoin  isPartial
date                          
2016-01-03       53      False
2016-01-10       55      False
2016-01-17       60      False
2016-01-24       52      False
2016-01-31       46      False
2016-02-07       49      False
2016-02-14       57      False
2016-02-21       53      False
2016-02-28       51      False
2016-03-06       49      False
2016-03-13       48      False
2016-03-20       45      False
2016-03-27       46      False
2016-04-03       46      False
2016-04-10       45      False
2016-04-17       47      False
2016-04-24       53      False
2016-05-01       81      False
2016-05-08       53      False
2016-05-15       48      False
2016-05-22       51      False
2016-05-29       66      False
2016-06-05       62      False
2016-06-12       93      False
2016-06-19       87      False
2016-06-26       69      False
2016-07-03       67      False
2016-07-10       59      False
2016-07-17       51      False
2016-07-24       55      False
2016-07-31       70      False
2016-08-07       53      False
2016-08-14       47      False
2016-08-21       48      False
2016-08-28       48      False
2016-09-04       54      False
2016-09-11       52      False
2016-09-18       52      False
2016-09-25       50      False
